DisputeStage,DisputeStatus,DisputeId,DueDate,ReasonCategory,DisputeTime,ReasonCode,ChargebackTxnAmount,MerchantUserId,TransactionChannel,CardType
CB,NEED_RESPONSE,4001928371,2026-07-10 00:00:00,Fraud,2026-06-10 09:41:37,10.3,162.17,7665434528917652389,Ahjkoiywebkbmxiykjsdfskjdhfsj,Credit
CB,NEED_RESPONSE,k298vxf41mnp9z5c,2026-07-11 00:00:00,Fraud,2026-06-10 20:46:22,4837,325.93,7665434528917652390,Ahjsgfskjaksldwuleurhjhjdhfsj,Prepaid
CB,NEED_RESPONSE,881620934810,2026-07-12 00:00:00,Processing Error,2026-06-10 20:46:25,4831,364.00,7665434528917652391,Ahjkoiywebkbmxiykjsdfskjdhfsj,Credit
CB,NEED_RESPONSE,610934827519,2026-07-13 00:00:00,Authorization,2026-06-10 20:46:28,A02,29.85,7665434528917652392,Ahjsgfskjaksldwuleurhjhjdhfsj,Prepaid
CB,NEED_RESPONSE,382061573942,2026-07-14 00:00:00,Fraud,2026-06-11 09:41:37,UA02,36.20,7665434528917652393,Ahjkoiywebkbmxiykjsdfskjdhfsj,Prepaid
PRE_ARB,NEED_RESPONSE,dsp_5bgpxqdvr7cfkpmc,2026-07-15 00:00:00,Fraud,2026-06-11 20:46:22,10.4,46.43,7665434528917652394,Ahjsgfskjaksldwuleurhjhjdhfsj,Debit
PRE_ARB,NEED_RESPONSE,4t67pz9q3mkf8v2x,2026-07-16 00:00:00,Consumer Dispute,2026-06-12 20:46:25,4841,102.82,7665434528917652395,Ahjkoiywebkbmxiykjsdfskjdhfsj,Credit
RFI,NEED_RESPONSE,v92nkx47p3qf6z1m,2026-07-17 00:00:00,Consumer Dispute,2026-06-13 20:46:28,4855,70.00,7665434528917652396,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
CB,NEED_RESPONSE,p3mjdw273h97yt38,2026-07-18 00:00:00,Consumer Dispute,2026-06-10 09:41:37,C04,77.25,7665434528917652397,Ahjkoiywebkbmxiykjsdfskjdhfsj,Debit
CB,NEED_RESPONSE,4001928372,2026-07-19 00:00:00,Authorization,2026-06-10 20:46:22,NA,19.99,7665434528917652398,Ahjsgfskjaksldwuleurhjhjdhfsj,Prepaid
CB,NEED_RESPONSE,382061573943,2026-07-20 00:00:00,Authorization,2026-06-10 20:46:25,11.3,26.65,7665434528917652399,Ahjkoiywebkbmxiykjsdfskjdhfsj,Credit
CB,NEED_RESPONSE,881620934811,2026-07-21 00:00:00,Consumer Dispute,2026-06-10 20:46:28,4860,26.49,7665434528917652400,Ahjsgfskjaksldwuleurhjhjdhfsj,Prepaid
CB,NEED_RESPONSE,mz2whrjd6kzv6brp,2026-07-22 00:00:00,Fraud,2026-06-11 09:41:37,4837,130.00,7665434528917652401,Ahjkoiywebkbmxiykjsdfskjdhfsj,Credit
RFI,NEED_RESPONSE,dsp_pkn3tj25jzyn4pxc,2026-07-23 00:00:00,Fraud,2026-06-11 20:46:22,F29,135.90,7665434528917652402,Ahjsgfskjaksldwuleurhjhjdhfsj,Debit
CB,NEED_RESPONSE,4001928373,2026-07-24 00:00:00,Consumer Dispute,2026-06-12 20:46:25,RG,10.46,7665434528917652403,Ahjkoiywebkbmxiykjsdfskjdhfsj,Prepaid
CB,NEED_RESPONSE,b3xqsx297qdfvb76,2026-07-25 00:00:00,Processing Error,2026-06-13 20:46:28,12.5,22.04,7665434528917652404,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
PRE_ARB,NEED_RESPONSE,610934827520,2026-07-26 00:00:00,Processing Error,2026-06-10 09:41:37,4831,12.88,7665434528917652405,Ahjkoiywebkbmxiykjsdfskjdhfsj,Credit
PRE_ARB,NEED_RESPONSE,qtrks4pssnavyfg7,2026-07-27 00:00:00,Consumer Dispute,2026-06-10 20:46:22,4841,29.01,7665434528917652406,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
PRE_ARB,NEED_RESPONSE,1x85vt9p2k4q7m3z,2026-07-28 00:00:00,Processing Error,2026-06-10 20:46:25,P03,70.98,7665434528917652407,Ahjkoiywebkbmxiykjsdfskjdhfsj,Prepaid
PRE_ARB,NEED_RESPONSE,881620934812,2026-07-29 00:00:00,Consumer Dispute,2026-06-10 20:46:28,RM,67.14,7665434528917652408,Ahjsgfskjaksldwuleurhjhjdhfsj,Debit
PRE_ARB,NEED_RESPONSE,85fh7qgg9xvztp77,2026-07-30 00:00:00,Consumer Dispute,2026-06-11 09:41:37,13.1,19.00,7665434528917652409,Ahjkoiywebkbmxiykjsdfskjdhfsj,Debit
PRE_ARB,NEED_RESPONSE,610934827521,2026-07-31 00:00:00,Consumer Dispute,2026-06-11 20:46:22,4855,15.00,7665434528917652410,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
PRE_ARB,NEED_RESPONSE,4001928374,2026-08-01 00:00:00,Consumer Dispute,2026-06-12 20:46:25,4860,13.24,7665434528917652411,Ahjkoiywebkbmxiykjsdfskjdhfsj,Credit
PRE_ARB,NEED_RESPONSE,610934827522,2026-08-02 00:00:00,Authorization,2026-06-13 20:46:28,A02,12.98,7665434528917652412,Ahjsgfskjaksldwuleurhjhjdhfsj,Prepaid
PRE_ARB,NEED_RESPONSE,610934827523,2026-08-03 00:00:00,Fraud,2026-06-10 09:41:37,UA02,114.70,7665434528917652413,Ahjkoiywebkbmxiykjsdfskjdhfsj,Credit
PRE_ARB,NEED_RESPONSE,dsp_f33nk9k32thk3tt7,2026-08-04 00:00:00,Consumer Dispute,2026-06-10 20:46:22,13.3,24.44,7665434528917652414,Ahjsgfskjaksldwuleurhjhjdhfsj,Prepaid
CB,NEED_RESPONSE,5bgpxqdvr7cfkpmc,2026-08-05 00:00:00,Fraud,2026-06-10 20:46:25,4837,20.80,7665434528917652415,Ahjkoiywebkbmxiykjsdfskjdhfsj,Prepaid
CB,NEED_RESPONSE,382061573944,2026-08-06 00:00:00,Processing Error,2026-06-10 20:46:28,4831,85.59,7665434528917652416,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
CB,NEED_RESPONSE,382061573945,2026-08-07 00:00:00,Consumer Dispute,2026-06-11 09:41:37,C04,61.47,7665434528917652417,Ahjkoiywebkbmxiykjsdfskjdhfsj,Prepaid
CB,NEED_RESPONSE,jrzvtt4y6htvpkvb,2026-08-08 00:00:00,Authorization,2026-06-11 20:46:22,NA,24.99,7665434528917652418,Ahjsgfskjaksldwuleurhjhjdhfsj,Debit
CB,NEED_RESPONSE,dd24w8g5stynv3xx,2026-08-09 00:00:00,Fraud,2026-06-12 20:46:25,10.3,162.18,7665434528917652419,Ahjkoiywebkbmxiykjsdfskjdhfsj,Debit
BC,NEED_RESPONSE,b42ns6y32677dc44,2026-08-10 00:00:00,Consumer Dispute,2026-06-13 20:46:28,4841,325.94,7665434528917652420,Ahjsgfskjaksldwuleurhjhjdhfsj,Prepaid
BC,NEED_RESPONSE,610934827524,2026-08-11 00:00:00,Consumer Dispute,2026-06-10 09:41:37,4855,365.00,7665434528917652421,Ahjkoiywebkbmxiykjsdfskjdhfsj,Credit
BC,NEED_RESPONSE,610934827525,2026-08-12 00:00:00,Fraud,2026-06-10 20:46:22,F29,29.86,7665434528917652422,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
PRE_ARB,NEED_RESPONSE,382061573946,2026-08-13 00:00:00,Consumer Dispute,2026-06-10 20:46:25,RG,36.30,7665434528917652423,Ahjkoiywebkbmxiykjsdfskjdhfsj,Debit
PRE_ARB,NEED_RESPONSE,881620934813,2026-08-14 00:00:00,Fraud,2026-06-10 20:46:28,10.4,46.44,7665434528917652424,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
PRE_ARB,NEED_RESPONSE,610934827526,2026-08-15 00:00:00,Consumer Dispute,2026-06-11 09:41:37,4860,102.83,7665434528917652425,Ahjkoiywebkbmxiykjsdfskjdhfsj,Credit
PRE_ARB,NEED_RESPONSE,4001928375,2026-08-16 00:00:00,Fraud,2026-06-11 20:46:22,4837,71.00,7665434528917652426,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
PRE_ARB,NEED_RESPONSE,8n3m7f6p1x5v2q9k,2026-08-17 00:00:00,Processing Error,2026-06-12 20:46:25,P03,77.26,7665434528917652427,Ahjkoiywebkbmxiykjsdfskjdhfsj,Debit
PRE_ARB,NEED_RESPONSE,3q5f43tz39bd3q4n,2026-08-18 00:00:00,Consumer Dispute,2026-06-13 20:46:28,RM,19.10,7665434528917652428,Ahjsgfskjaksldwuleurhjhjdhfsj,Prepaid
PRE_ARB,NEED_RESPONSE,610934827527,2026-08-19 00:00:00,Authorization,2026-06-10 09:41:37,11.3,26.33,7665434528917652429,Ahjkoiywebkbmxiykjsdfskjdhfsj,Prepaid
PRE_ARB,NEED_RESPONSE,382061573947,2026-08-20 00:00:00,Processing Error,2026-06-10 20:46:22,4831,26.17,7665434528917652430,Ahjsgfskjaksldwuleurhjhjdhfsj,Prepaid
PRE_ARB,NEED_RESPONSE,610934827528,2026-08-21 00:00:00,Consumer Dispute,2026-06-10 20:46:25,4841,131.00,7665434528917652431,Ahjkoiywebkbmxiykjsdfskjdhfsj,Credit
PRE_ARB,NEED_RESPONSE,610934827529,2026-08-22 00:00:00,Authorization,2026-06-10 20:46:28,A02,135.10,7665434528917652432,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
PRE_ARB,NEED_RESPONSE,z62kp49v8m1f3x7q,2026-08-23 00:00:00,Fraud,2026-06-11 09:41:37,UA02,10.47,7665434528917652433,Ahjkoiywebkbmxiykjsdfskjdhfsj,Credit
PRE_ARB,NEED_RESPONSE,881620934814,2026-08-24 00:00:00,Processing Error,2026-06-11 20:46:22,12.5,22.05,7665434528917652434,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
PRE_ARB,NEED_RESPONSE,382061573948,2026-08-25 00:00:00,Consumer Dispute,2026-06-12 20:46:25,4855,12.89,7665434528917652435,Ahjkoiywebkbmxiykjsdfskjdhfsj,Credit
PRE_ARB,NEED_RESPONSE,382061573949,2026-08-26 00:00:00,Consumer Dispute,2026-06-13 20:46:28,4860,29.02,7665434528917652436,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
PRE_ARB,NEED_RESPONSE,881620934815,2026-08-27 00:00:00,Consumer Dispute,2026-06-10 09:41:37,C04,70.99,7665434528917652437,Ahjkoiywebkbmxiykjsdfskjdhfsj,Debit
PRE_ARB,NEED_RESPONSE,dsp_3rzpgp2zvhb5qyz8,2026-08-28 00:00:00,Authorization,2026-06-10 20:46:22,NA,67.15,7665434528917652438,Ahjsgfskjaksldwuleurhjhjdhfsj,Debit
PRE_ARB,NEED_RESPONSE,pkn3tj25jzyn4pxc,2026-08-29 00:00:00,Consumer Dispute,2026-06-10 20:46:25,13.1,11.00,7665434528917652439,Ahjkoiywebkbmxiykjsdfskjdhfsj,Prepaid
CB,NEED_RESPONSE,5q91m3x7v2k8p4zf,2026-08-30 00:00:00,Fraud,2026-06-10 20:46:28,4837,7.00,7665434528917652440,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
CB,NEED_RESPONSE,4001928376,2026-08-31 00:00:00,Processing Error,2026-06-11 09:41:37,4831,13.25,7665434528917652441,Ahjkoiywebkbmxiykjsdfskjdhfsj,Credit
CB,NEED_RESPONSE,881620934816,2026-09-01 00:00:00,Fraud,2026-06-11 20:46:22,F29,12.99,7665434528917652442,Ahjsgfskjaksldwuleurhjhjdhfsj,Debit
CB,NEED_RESPONSE,dsp_4hvg87qdrqf9jwfz,2026-09-02 00:00:00,Consumer Dispute,2026-06-12 20:46:25,RG,114.80,7665434528917652443,Ahjkoiywebkbmxiykjsdfskjdhfsj,Debit
PRE_ARB,NEED_RESPONSE,f33nk9k32thk3tt7,2026-09-03 00:00:00,Consumer Dispute,2026-06-13 20:46:28,13.3,24.45,7665434528917652444,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
PRE_ARB,NEED_RESPONSE,881620934817,2026-09-04 00:00:00,Consumer Dispute,2026-06-10 09:41:37,4841,20.90,7665434528917652445,Ahjkoiywebkbmxiykjsdfskjdhfsj,Credit
PRE_ARB,NEED_RESPONSE,dsp_3y9mkwmd7z7kmyjz,2026-09-05 00:00:00,Consumer Dispute,2026-06-10 20:46:22,4855,85.60,7665434528917652446,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
PRE_ARB,NEED_RESPONSE,610934827530,2026-09-06 00:00:00,Processing Error,2026-06-10 20:46:25,P03,61.48,7665434528917652447,Ahjkoiywebkbmxiykjsdfskjdhfsj,Prepaid
PRE_ARB,NEED_RESPONSE,382061573950,2026-09-07 00:00:00,Consumer Dispute,2026-06-10 20:46:28,RM,24.10,7665434528917652448,Ahjsgfskjaksldwuleurhjhjdhfsj,Debit
PRE_ARB,NEED_RESPONSE,3rzpgp2zvhb5qyz8,2026-09-08 00:00:00,Fraud,2026-06-11 09:41:37,10.3,162.19,7665434528917652449,Ahjkoiywebkbmxiykjsdfskjdhfsj,Prepaid
PRE_ARB,NEED_RESPONSE,4001928377,2026-09-09 00:00:00,Consumer Dispute,2026-06-11 20:46:22,4860,325.95,7665434528917652450,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
PRE_ARB,NEED_RESPONSE,dsp_fcm9qbnhr7mng284,2026-09-10 00:00:00,Fraud,2026-06-12 20:46:25,4837,366.00,7665434528917652451,Ahjkoiywebkbmxiykjsdfskjdhfsj,Credit
PRE_ARB,NEED_RESPONSE,610934827531,2026-09-11 00:00:00,Authorization,2026-06-13 20:46:28,A02,29.87,7665434528917652452,Ahjsgfskjaksldwuleurhjhjdhfsj,Debit
PRE_ARB,NEED_RESPONSE,p48m2v9x1q5n7k3t,2026-09-12 00:00:00,Fraud,2026-06-10 09:41:37,UA02,36.40,7665434528917652453,Ahjkoiywebkbmxiykjsdfskjdhfsj,Debit
PRE_ARB,NEED_RESPONSE,881620934818,2026-09-13 00:00:00,Fraud,2026-06-10 20:46:22,10.4,46.45,7665434528917652454,Ahjsgfskjaksldwuleurhjhjdhfsj,Prepaid
PRE_ARB,NEED_RESPONSE,4001928378,2026-09-14 00:00:00,Processing Error,2026-06-10 20:46:25,4831,102.84,7665434528917652455,Ahjkoiywebkbmxiykjsdfskjdhfsj,Prepaid
PRE_ARB,NEED_RESPONSE,881620934819,2026-09-15 00:00:00,Consumer Dispute,2026-06-10 20:46:28,4841,72.00,7665434528917652456,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
PRE_ARB,NEED_RESPONSE,610934827532,2026-09-16 00:00:00,Consumer Dispute,2026-06-11 09:41:37,C04,77.27,7665434528917652457,Ahjkoiywebkbmxiykjsdfskjdhfsj,Prepaid
CB,NEED_RESPONSE,3x97v2n1k4q6m8fp,2026-09-17 00:00:00,Authorization,2026-06-11 20:46:22,NA,19.10,7665434528917652458,Ahjsgfskjaksldwuleurhjhjdhfsj,Debit
CB,NEED_RESPONSE,7k4p9x2m1v8f3q6z,2026-09-18 00:00:00,Authorization,2026-06-12 20:46:25,11.3,26.01,7665434528917652459,Ahjkoiywebkbmxiykjsdfskjdhfsj,Debit
CB,NEED_RESPONSE,s9j5v2mrsz49w3t6,2026-09-19 00:00:00,Consumer Dispute,2026-06-13 20:46:28,4855,26.15,7665434528917652460,Ahjsgfskjaksldwuleurhjhjdhfsj,Debit
CB,NEED_RESPONSE,4hvg87qdrqf9jwfz,2026-09-20 00:00:00,Consumer Dispute,2026-06-10 09:41:37,4860,132.00,7665434528917652461,Ahjkoiywebkbmxiykjsdfskjdhfsj,Credit
CB,NEED_RESPONSE,881620934820,2026-09-21 00:00:00,Fraud,2026-06-10 20:46:22,F29,135.11,7665434528917652462,Ahjsgfskjaksldwuleurhjhjdhfsj,Debit
CB,NEED_RESPONSE,382061573951,2026-09-22 00:00:00,Consumer Dispute,2026-06-10 20:46:25,RG,10.48,7665434528917652463,Ahjkoiywebkbmxiykjsdfskjdhfsj,Prepaid
CB,NEED_RESPONSE,382061573952,2026-09-23 00:00:00,Processing Error,2026-06-10 20:46:28,12.5,22.06,7665434528917652464,Ahjsgfskjaksldwuleurhjhjdhfsj,Prepaid
CB,NEED_RESPONSE,4001928379,2026-09-24 00:00:00,Fraud,2026-06-11 09:41:37,4837,12.90,7665434528917652465,Ahjkoiywebkbmxiykjsdfskjdhfsj,Credit
CB,NEED_RESPONSE,382061573953,2026-09-25 00:00:00,Processing Error,2026-06-11 20:46:22,4831,29.03,7665434528917652466,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
CB,NEED_RESPONSE,PP-D-123456781,2026-09-26 00:00:00,Processing Error,2026-06-12 20:46:25,P03,70.10,7665434528917652467,Ahjkoiywebkbmxiykjsdfskjdhfsj,Prepaid
CB,NEED_RESPONSE,dsp_sygfpmkpzwd2qssw,2026-09-27 00:00:00,Consumer Dispute,2026-06-13 20:46:28,RM,67.16,7665434528917652468,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
CB,NEED_RESPONSE,610934827533,2026-09-28 00:00:00,Consumer Dispute,2026-06-10 09:41:37,13.1,3.00,7665434528917652469,Ahjkoiywebkbmxiykjsdfskjdhfsj,Credit
CB,NEED_RESPONSE,dsp_5z8vgtk78wt46dmv,2026-09-29 00:00:00,Consumer Dispute,2026-06-10 20:46:22,4841,1.00,7665434528917652470,Ahjsgfskjaksldwuleurhjhjdhfsj,Prepaid
CB,NEED_RESPONSE,382061573954,2026-09-30 00:00:00,Consumer Dispute,2026-06-10 20:46:25,4855,13.26,7665434528917652471,Ahjkoiywebkbmxiykjsdfskjdhfsj,Credit
CB,NEED_RESPONSE,382061573955,2026-10-01 00:00:00,Authorization,2026-06-10 20:46:28,A02,12.10,7665434528917652472,Ahjsgfskjaksldwuleurhjhjdhfsj,Prepaid
CB,NEED_RESPONSE,dsp_2x5g8449fyp5vtrg,2026-10-02 00:00:00,Fraud,2026-06-11 09:41:37,UA02,114.90,7665434528917652473,Ahjkoiywebkbmxiykjsdfskjdhfsj,Debit
CLAIM,NEED_RESPONSE,881620934821,2026-10-03 00:00:00,Consumer Dispute,2026-06-11 20:46:22,13.3,24.46,7665434528917652474,Ahjsgfskjaksldwuleurhjhjdhfsj,Debit
CLAIM,NEED_RESPONSE,q82m1x9f4k7v3p6z,2026-10-04 00:00:00,Consumer Dispute,2026-06-12 20:46:25,4860,20.10,7665434528917652475,Ahjkoiywebkbmxiykjsdfskjdhfsj,Debit
CLAIM,NEED_RESPONSE,382061573956,2026-10-05 00:00:00,Fraud,2026-06-13 20:46:28,4837,85.61,7665434528917652476,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
CB,NEED_RESPONSE,PP-D-123456782,2026-10-06 00:00:00,Consumer Dispute,2026-06-10 09:41:37,C04,61.49,7665434528917652477,Ahjkoiywebkbmxiykjsdfskjdhfsj,Debit
CB,NEED_RESPONSE,1m3v8f7k9q2p4z6x,2026-10-07 00:00:00,Authorization,2026-06-10 20:46:22,NA,24.10,7665434528917652478,Ahjsgfskjaksldwuleurhjhjdhfsj,Debit
CB,NEED_RESPONSE,dsp_325fgwkp2vxncpbh,2026-10-08 00:00:00,Consumer Dispute,2026-06-10 20:46:25,13.1,162.20,7665434528917652479,Ahjkoiywebkbmxiykjsdfskjdhfsj,Debit
CB,NEED_RESPONSE,PP-D-123456783,2026-10-09 00:00:00,Processing Error,2026-06-10 20:46:28,4831,325.96,7665434528917652480,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
CB,NEED_RESPONSE,PP-D-123456784,2026-10-10 00:00:00,Consumer Dispute,2026-06-11 09:41:37,4841,367.00,7665434528917652481,Ahjkoiywebkbmxiykjsdfskjdhfsj,Credit
CB,NEED_RESPONSE,382061573957,2026-10-11 00:00:00,Fraud,2026-06-11 20:46:22,F29,29.88,7665434528917652482,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
CB,NEED_RESPONSE,610934827534,2026-10-12 00:00:00,Consumer Dispute,2026-06-12 20:46:25,RG,36.50,7665434528917652483,Ahjkoiywebkbmxiykjsdfskjdhfsj,Debit
CB,NEED_RESPONSE,m74k2p9x8v1n3q6t,2026-10-13 00:00:00,Consumer Dispute,2026-06-13 20:46:28,13.3,46.46,7665434528917652484,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
CB,NEED_RESPONSE,382061573958,2026-10-14 00:00:00,Consumer Dispute,2026-06-10 09:41:37,4855,102.85,7665434528917652485,Ahjkoiywebkbmxiykjsdfskjdhfsj,Credit
CB,NEED_RESPONSE,382061573959,2026-10-15 00:00:00,Consumer Dispute,2026-06-10 20:46:22,4860,73.00,7665434528917652486,Ahjsgfskjaksldwuleurhjhjdhfsj,Credit
CB,NEED_RESPONSE,dsp_x52yjzmbyb4kc6vy,2026-10-16 00:00:00,Processing Error,2026-06-10 20:46:25,P03,77.28,7665434528917652487,Ahjkoiywebkbmxiykjsdfskjdhfsj,Prepaid
